_Jurisdiction,Total,<18,18-30,31-40,41-50,51-60,61-70,71-80,81+,Unknown_Age,African_American/Black,Asian,Hispanic/Latino,Multirace,Native_American,Pacific_Islander,White,Unknown_Race/Ethnicity,Female,Male,Transgender/Other/Unknown,Deaths,OBJECTID
Alameda County LHJ,242493,46695,56691,46629,35903,27706,16585,7383,4839,62,21139,37498,72070,4202,676,2516,36127,68265,122749,114112,5632,1744,0
Alameda,8734,1845,1833,1509,1234,1030,626,342,315,NA,552,1828,1134,232,39,77,2155,2717,4493,3966,275,119,1
Albany,1453,315,374,255,215,148,81,38,27,NA,37,241,223,26,NA,NA,440,475,728,698,27,NA,2
Dublin,7348,1850,1422,1419,1292,747,381,152,82,NA,276,1811,823,107,12,68,1393,2858,3670,3609,69,16,3
Emeryville,1668,206,487,422,218,191,79,41,24,NA,292,258,241,35,NA,NA,286,546,861,753,54,NA,4
Fremont,25995,5567,5654,4665,3661,3027,1980,784,652,NA,567,8286,4240,563,65,239,3876,8159,12902,12816,277,181,5
Hayward,33345,5705,8344,6226,5017,3943,2450,1065,588,NA,1993,5242,14003,572,79,766,2667,8023,17214,15380,751,277,6
Livermore,12864,2476,2666,2333,1976,1765,905,410,332,NA,238,987,3204,164,37,64,5098,3072,6532,6172,160,84,7
Newark,7909,1547,1753,1558,1187,975,534,223,131,NA,164,1554,2048,124,15,127,1159,2718,4010,3837,62,42,8
Oakland,74866,14562,18040,16021,10772,7559,4517,2164,1214,17,12571,5885,26906,1221,219,443,8063,19558,38315,34242,2309,526,9
Piedmont,837,182,190,91,114,133,80,36,10,NA,NA,99,51,10,NA,NA,388,281,378,411,48,NA,10
Pleasanton,7759,1486,1674,1114,1220,1065,598,313,288,NA,195,1471,980,113,20,39,2941,2000,3917,3690,152,66,11
San Leandro,15631,2878,3635,2820,2387,1874,1187,494,354,NA,1392,2845,5181,270,54,173,1784,3932,8162,7110,359,125,12
Union City,11268,2076,2643,1933,1615,1387,958,403,252,NA,407,3278,2480,274,22,209,969,3629,5715,5409,144,79,13
Unincorporated,25827,5209,6042,4581,3799,3032,1892,781,489,NA,1739,3359,9520,425,94,269,4272,6149,13175,12013,639,194,14
